epoch,step,test_loss,val_loss
0,99,,2003.9626405520366
1,199,,1751.3731844409638
2,299,,1080.438850104311
3,399,,741.1119876172113
4,499,,632.777590877758
5,599,,533.042382255025
6,699,,504.1388153153855
7,799,,488.7751308920124
8,899,,472.9376932707258
9,999,,474.207227257479
10,1099,,453.4338674346099
11,1199,,444.0189986683516
12,1299,,448.87096752332616
13,1399,,435.6303878762467
14,1499,,434.8066441768526
15,1599,,431.5716869255111
16,1699,,437.91445916718925
17,1799,,426.85997829877164
18,1899,,426.53826567712247
19,1999,,437.2338350051851
20,2099,,424.4717783150318
21,2199,,421.8392644545201
22,2299,,422.8478661164863
23,2399,,419.2708096926815
24,2499,,417.23268900734024
25,2599,,416.1068447571961
26,2699,,414.53967862689916
27,2799,,422.34943638415973
28,2899,,419.4263334013233
29,2999,,412.12282817369567
30,3099,,413.15879470456366
31,3199,,411.10395224847434
32,3299,,409.90729108585987
33,3399,,409.8247722043881
34,3499,,409.7319189949575
35,3599,,410.99777614488676
36,3699,,409.48588567741336
37,3799,,409.6442744934635
38,3899,,406.04037899750733
39,3999,,406.84098329490547
40,4099,,405.4835661247162
41,4199,,403.73353866668475
42,4299,,403.64679197332225
43,4399,,402.57256904294775
44,4499,411.4411356496446,
